[2026-03-25T05:35:31.011Z] GET https://fonts.gstatic.com/s/outfit/v15/QGYvz_MVcBeNP4NJtEtq.woff2 → 200 (?ms, ?B)
[2026-03-25T05:35:31.059Z] GET http://localhost:8080/assets/Chat-7xL4I6of.js → 200 (4ms, 154051B)
[2026-03-25T05:35:31.059Z] GET http://localhost:8080/assets/ApiOutlined-2tFXlTcL.js → 200 (4ms, 2181B)
[2026-03-25T05:35:31.059Z] GET http://localhost:8080/assets/hooks-BZ6gZuFU.js → 200 (?ms, 194002B)
[2026-03-25T05:35:31.060Z] GET http://localhost:8080/assets/InboxOutlined-AYFCzsst.js → 200 (?ms, 11956B)
[2026-03-25T05:35:31.060Z] GET http://localhost:8080/assets/Chat-CIMxpOBo.css → 200 (?ms, 10907B)
[2026-03-25T05:35:31.362Z] GET http://localhost:8080/api/documents → 200 (15ms, 1151B)
[2026-03-25T05:35:31.363Z] GET http://localhost:8080/api/chat/sessions → 200 (17ms, 930B)
[2026-03-25T05:35:31.363Z] GET http://localhost:8080/api/providers → 200 (18ms, 462B)
[2026-03-25T05:35:31.406Z] GET http://localhost:8080/api/chat/sessions/s-4c67f5f62c4f/messages → 200 (4ms, 9837B)
[2026-03-25T05:35:58.093Z] GET http://localhost:8080/chat → 200 (2ms, 577B)
[2026-03-25T05:35:58.099Z] GET http://localhost:8080/assets/index-B3Ey0dtP.js → 200 (?ms, 120885B)
[2026-03-25T05:35:58.099Z] GET http://localhost:8080/assets/QueryClientProvider-CYQN9kDF.js → 200 (?ms, 487025B)
[2026-03-25T05:35:58.100Z] GET http://localhost:8080/assets/index-yfjh0RY7.css → 200 (?ms, 5824B)
[2026-03-25T05:35:58.101Z] GET https://fonts.googleapis.com/css2?family=JetBrains+Mono:wght@400;500;600&family=Outfit:wght@300;400;500;600;700&family=Noto+Serif+SC:wght@400;600;700&display=swap → 200 (?ms, 349791B)
[2026-03-25T05:35:58.110Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwg.woff2 → 200 (?ms, ?B)
[2026-03-25T05:35:58.110Z] GET https://fonts.gstatic.com/s/outfit/v15/QGYvz_MVcBeNP4NJtEtq.woff2 → 200 (?ms, ?B)
[2026-03-25T05:35:58.139Z] GET http://localhost:8080/assets/Chat-7xL4I6of.js → 200 (?ms, 154051B)
[2026-03-25T05:35:58.139Z] GET http://localhost:8080/assets/ApiOutlined-2tFXlTcL.js → 200 (?ms, 2181B)
[2026-03-25T05:35:58.139Z] GET http://localhost:8080/assets/hooks-BZ6gZuFU.js → 200 (?ms, 194002B)
[2026-03-25T05:35:58.140Z] GET http://localhost:8080/assets/InboxOutlined-AYFCzsst.js → 200 (?ms, 11956B)
[2026-03-25T05:35:58.140Z] GET http://localhost:8080/assets/Chat-CIMxpOBo.css → 200 (?ms, 10907B)
[2026-03-25T05:35:58.444Z] GET http://localhost:8080/api/documents → 200 (12ms, 1151B)
[2026-03-25T05:35:58.444Z] GET http://localhost:8080/api/chat/sessions → 200 (15ms, 930B)
[2026-03-25T05:35:58.444Z] GET http://localhost:8080/api/providers → 200 (10ms, 462B)
[2026-03-25T05:35:58.483Z] GET http://localhost:8080/api/chat/sessions/s-4c67f5f62c4f/messages → 200 (3ms, 9837B)
[2026-03-25T05:43:19.770Z] GET http://localhost:8080/chat → 200 (5ms, 577B)
[2026-03-25T05:43:19.783Z] GET http://localhost:8080/assets/index-B3Ey0dtP.js → 200 (?ms, 120885B)
[2026-03-25T05:43:19.784Z] GET http://localhost:8080/assets/QueryClientProvider-CYQN9kDF.js → 200 (?ms, 487025B)
[2026-03-25T05:43:19.785Z] GET http://localhost:8080/assets/index-yfjh0RY7.css → 200 (?ms, 5824B)
[2026-03-25T05:43:19.787Z] GET https://fonts.googleapis.com/css2?family=JetBrains+Mono:wght@400;500;600&family=Outfit:wght@300;400;500;600;700&family=Noto+Serif+SC:wght@400;600;700&display=swap → 200 (1ms, 349791B)
[2026-03-25T05:43:19.794Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwg.woff2 → 200 (?ms, ?B)
[2026-03-25T05:43:19.795Z] GET https://fonts.gstatic.com/s/outfit/v15/QGYvz_MVcBeNP4NJtEtq.woff2 → 200 (1ms, ?B)
[2026-03-25T05:43:19.855Z] GET http://localhost:8080/assets/Chat-7xL4I6of.js → 200 (?ms, 154051B)
[2026-03-25T05:43:19.855Z] GET http://localhost:8080/assets/ApiOutlined-2tFXlTcL.js → 200 (?ms, 2181B)
[2026-03-25T05:43:19.857Z] GET http://localhost:8080/assets/hooks-BZ6gZuFU.js → 200 (?ms, 194002B)
[2026-03-25T05:43:19.857Z] GET http://localhost:8080/assets/InboxOutlined-AYFCzsst.js → 200 (?ms, 11956B)
[2026-03-25T05:43:19.857Z] GET http://localhost:8080/assets/Chat-CIMxpOBo.css → 200 (?ms, 10907B)
[2026-03-25T05:43:20.161Z] GET http://localhost:8080/api/documents → 200 (57ms, 1151B)
[2026-03-25T05:43:20.161Z] GET http://localhost:8080/api/chat/sessions → 200 (15ms, 930B)
[2026-03-25T05:43:20.162Z] GET http://localhost:8080/api/providers → 200 (55ms, 462B)
[2026-03-25T05:43:20.216Z] GET http://localhost:8080/api/chat/sessions/s-4c67f5f62c4f/messages → 200 (6ms, 9837B)
[2026-03-25T05:44:43.273Z] GET http://localhost:8080/chat → 200 (1ms, 577B)
[2026-03-25T05:44:43.278Z] GET http://localhost:8080/assets/index-B3Ey0dtP.js → 200 (1ms, 120885B)
[2026-03-25T05:44:43.279Z] GET http://localhost:8080/assets/QueryClientProvider-CYQN9kDF.js → 200 (?ms, 487025B)
[2026-03-25T05:44:43.279Z] GET http://localhost:8080/assets/index-yfjh0RY7.css → 200 (?ms, 5824B)
[2026-03-25T05:44:43.281Z] GET https://fonts.googleapis.com/css2?family=JetBrains+Mono:wght@400;500;600&family=Outfit:wght@300;400;500;600;700&family=Noto+Serif+SC:wght@400;600;700&display=swap → 200 (?ms, 349791B)
[2026-03-25T05:44:43.287Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwg.woff2 → 200 (1ms, ?B)
[2026-03-25T05:44:43.288Z] GET https://fonts.gstatic.com/s/outfit/v15/QGYvz_MVcBeNP4NJtEtq.woff2 → 200 (?ms, ?B)
[2026-03-25T05:44:43.321Z] GET http://localhost:8080/assets/Chat-7xL4I6of.js → 200 (?ms, 154051B)
[2026-03-25T05:44:43.322Z] GET http://localhost:8080/assets/ApiOutlined-2tFXlTcL.js → 200 (?ms, 2181B)
[2026-03-25T05:44:43.322Z] GET http://localhost:8080/assets/hooks-BZ6gZuFU.js → 200 (?ms, 194002B)
[2026-03-25T05:44:43.323Z] GET http://localhost:8080/assets/InboxOutlined-AYFCzsst.js → 200 (?ms, 11956B)
[2026-03-25T05:44:43.323Z] GET http://localhost:8080/assets/Chat-CIMxpOBo.css → 200 (?ms, 10907B)
[2026-03-25T05:44:43.638Z] GET http://localhost:8080/api/documents → 200 (52ms, 1151B)
[2026-03-25T05:44:43.638Z] GET http://localhost:8080/api/chat/sessions → 200 (27ms, 930B)
[2026-03-25T05:44:43.638Z] GET http://localhost:8080/api/providers → 200 (24ms, 462B)
[2026-03-25T05:44:43.688Z] GET http://localhost:8080/api/chat/sessions/s-4c67f5f62c4f/messages → 200 (9ms, 9837B)
[2026-03-25T05:45:48.626Z] GET http://localhost:8080/chat → 200 (2ms, 577B)
[2026-03-25T05:45:48.632Z] GET http://localhost:8080/assets/index-B3Ey0dtP.js → 200 (?ms, 120885B)
[2026-03-25T05:45:48.633Z] GET http://localhost:8080/assets/QueryClientProvider-CYQN9kDF.js → 200 (?ms, 487025B)
[2026-03-25T05:45:48.633Z] GET http://localhost:8080/assets/index-yfjh0RY7.css → 200 (?ms, 5824B)
[2026-03-25T05:45:48.635Z] GET https://fonts.googleapis.com/css2?family=JetBrains+Mono:wght@400;500;600&family=Outfit:wght@300;400;500;600;700&family=Noto+Serif+SC:wght@400;600;700&display=swap → 200 (?ms, 349791B)
[2026-03-25T05:45:48.639Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwg.woff2 → 200 (?ms, ?B)
[2026-03-25T05:45:48.639Z] GET https://fonts.gstatic.com/s/outfit/v15/QGYvz_MVcBeNP4NJtEtq.woff2 → 200 (?ms, ?B)
